start_idx,end_idx,start_time,end_time
image-00060.tiff,image-00060.tiff,1679417980.801154,1679417980.801154
image-00180.tiff,image-00600.tiff,1679417982.868311,1679417990.037535
image-00900.tiff,image-00960.tiff,1679417995.188788,1679417996.222458
image-01140.tiff,image-01200.tiff,1679417999.290225,1679418000.323964
image-01320.tiff,image-01560.tiff,1679418002.375420,1679418006.476928
image-01800.tiff,image-01980.tiff,1679418010.578490,1679418013.662552
image-02220.tiff,image-02340.tiff,1679418017.763883,1679418019.815487
image-02640.tiff,image-02820.tiff,1679418024.950806,1679418028.018619
image-03540.tiff,image-03660.tiff,1679418040.339669,1679418042.391228
image-06420.tiff,image-06480.tiff,1679418089.678341,1679418090.694768
image-06840.tiff,image-06900.tiff,1679418096.848104,1679418097.881818
image-07380.tiff,image-07620.tiff,1679418106.101761,1679418110.204253
image-07740.tiff,image-07800.tiff,1679418112.271307,1679418113.305075
image-08700.tiff,image-08880.tiff,1679418128.696225,1679418131.780338
image-09000.tiff,image-09060.tiff,1679418133.832023,1679418134.848433
image-09360.tiff,image-09600.tiff,1679418139.984207,1679418144.086176
image-09840.tiff,image-09960.tiff,1679418148.188369,1679418150.240210
image-10200.tiff,image-10200.tiff,1679418154.357773,1679418154.357773
image-10380.tiff,image-10440.tiff,1679418157.426057,1679418158.459737
image-10680.tiff,image-11160.tiff,1679418162.562021,1679418171.016497
image-11340.tiff,image-11520.tiff,1679418174.084826,1679418177.152897
image-11640.tiff,image-11640.tiff,1679418179.203386,1679418179.203386
image-11760.tiff,image-11820.tiff,1679418181.255500,1679418182.289212
image-12060.tiff,image-12420.tiff,1679418186.407140,1679418192.560729
image-12600.tiff,image-13320.tiff,1679418195.644879,1679418207.968466
image-13500.tiff,image-13560.tiff,1679418211.036663,1679418212.070722
image-13680.tiff,image-13680.tiff,1679418214.121206,1679418214.121206
image-13800.tiff,image-13980.tiff,1679418216.172646,1679418219.423618
image-14100.tiff,image-14400.tiff,1679418221.475377,1679418226.627432
image-14520.tiff,image-14580.tiff,1679418228.695174,1679418229.728988
image-14760.tiff,image-15000.tiff,1679418232.796849,1679418236.898576
image-15120.tiff,image-15180.tiff,1679418238.950461,1679418239.983682
image-15300.tiff,image-15540.tiff,1679418242.033907,1679418246.135311
image-15660.tiff,image-16920.tiff,1679418248.186787,1679418269.711107
image-17100.tiff,image-17160.tiff,1679418272.796240,1679418273.812723
image-17280.tiff,image-17340.tiff,1679418275.864268,1679418276.897901
image-17460.tiff,image-17580.tiff,1679418278.948053,1679418280.999528
image-17700.tiff,image-17760.tiff,1679418283.049785,1679418284.083412
image-17880.tiff,image-18000.tiff,1679418286.135066,1679418288.185383
image-18120.tiff,image-18120.tiff,1679418290.236564,1679418290.236564
image-18300.tiff,image-18480.tiff,1679418293.305108,1679418296.388556
image-18660.tiff,image-18720.tiff,1679418299.473705,1679418300.490393
image-18900.tiff,image-18960.tiff,1679418303.575986,1679418304.592402
image-19140.tiff,image-19140.tiff,1679418307.677408,1679418307.677408
image-19260.tiff,image-19620.tiff,1679418309.727804,1679418315.881187
image-19800.tiff,image-19980.tiff,1679418318.964956,1679418322.017101
image-20160.tiff,image-20280.tiff,1679418325.101075,1679418327.152464
image-20400.tiff,image-20400.tiff,1679418329.202915,1679418329.202915
image-20880.tiff,image-21780.tiff,1679418337.406397,1679418352.797159
image-21960.tiff,image-21960.tiff,1679418355.881238,1679418355.881238
image-22080.tiff,image-22260.tiff,1679418357.932775,1679418361.001522
image-22380.tiff,image-22860.tiff,1679418363.068465,1679418371.288431
image-22980.tiff,image-23100.tiff,1679418373.339858,1679418375.390171
image-23220.tiff,image-23520.tiff,1679418377.441807,1679418382.577698
image-23640.tiff,image-23880.tiff,1679418384.627898,1679418388.747130
image-24000.tiff,image-24000.tiff,1679418390.797518,1679418390.797518
image-28440.tiff,image-28560.tiff,1679418466.834699,1679418468.886022
image-28680.tiff,image-28680.tiff,1679418470.936516,1679418470.936516
image-28800.tiff,image-28860.tiff,1679418472.988223,1679418474.022277
image-29100.tiff,image-29100.tiff,1679418478.224453,1679418478.224453
image-29700.tiff,image-29820.tiff,1679418488.495910,1679418490.546117
image-29940.tiff,image-30000.tiff,1679418492.597633,1679418493.631460
image-30480.tiff,image-30600.tiff,1679418501.835156,1679418503.885369
image-30720.tiff,image-30900.tiff,1679418505.936950,1679418509.021043
image-31020.tiff,image-31020.tiff,1679418511.072448,1679418511.072448
image-31200.tiff,image-31800.tiff,1679418514.156532,1679418524.411831
image-32100.tiff,image-32160.tiff,1679418529.547661,1679418530.564074
image-32280.tiff,image-32280.tiff,1679418532.615777,1679418532.615777
image-32400.tiff,image-32760.tiff,1679418534.665931,1679418540.835423
image-32880.tiff,image-33480.tiff,1679418542.887120,1679418553.158665
image-33600.tiff,image-38880.tiff,1679418555.208807,1679418645.670448
image-39000.tiff,image-39120.tiff,1679418647.720954,1679418649.772739
image-39240.tiff,image-39360.tiff,1679418651.840334,1679418653.890818
image-39660.tiff,image-41640.tiff,1679418659.010531,1679418692.895042
image-41760.tiff,image-41940.tiff,1679418694.945414,1679418698.031271
image-42000.tiff,image-42240.tiff,1679418699.047540,1679418703.150291
image-42360.tiff,image-43200.tiff,1679418705.217353,1679418719.591772
image-43320.tiff,image-44760.tiff,1679418721.643604,1679418746.289816
image-47580.tiff,image-47640.tiff,1679418794.515753,1679418795.549948
image-48720.tiff,image-48780.tiff,1679418814.042952,1679418815.076900
image-48960.tiff,image-49020.tiff,1679418818.162492,1679418819.179186
