start_idx,end_idx,start_time,end_time
image-00000.tiff,image-00000.tiff,1658859721.284558,1658859721.284558
image-00120.tiff,image-00120.tiff,1658859723.284629,1658859723.284629
image-00360.tiff,image-00360.tiff,1658859727.286488,1658859727.286488
image-00600.tiff,image-00600.tiff,1658859731.288432,1658859731.288432
image-04860.tiff,image-04860.tiff,1658859802.319596,1658859802.319596
image-07680.tiff,image-07680.tiff,1658859849.424602,1658859849.424602
image-11340.tiff,image-11400.tiff,1658859910.451385,1658859911.451586
image-14280.tiff,image-14280.tiff,1658859959.472929,1658859959.472929
image-24540.tiff,image-24540.tiff,1658860130.815036,1658860130.815036
image-37140.tiff,image-37140.tiff,1658860340.908861,1658860340.908861
image-37320.tiff,image-37380.tiff,1658860343.908905,1658860344.910722
image-37620.tiff,image-37620.tiff,1658860348.912258,1658860348.912258
image-40020.tiff,image-40020.tiff,1658860388.929625,1658860388.929625
image-41280.tiff,image-41280.tiff,1658860409.937949,1658860409.937949
image-41400.tiff,image-41460.tiff,1658860411.938786,1658860412.940642
image-42000.tiff,image-42000.tiff,1658860421.943456,1658860421.943456
